ccode,pcode,km
CAN,BLX,5687
CAN,BLZ,3313
CAN,BMU,10523
CAN,BOL,6896
CAN,BRA,7324
CAN,BRN,14413
CAN,BTN,11807
CAN,BWA,12763
CAN,CAF,9951
CAN,CAN,
CAN,CHE,6129
CAN,CHL,8764
CAN,CHN,10532
CAN,CIV,8225
CAN,CMR,9492
CAN,COG,10397
CAN,COL,4553
CAN,CRI,3930
CAN,CSK,6331
CAN,CUB,2547
CAN,CYP,8586
CAN,CZE,6331
CAN,DDR,6139
CAN,DEU,6139
CAN,DJI,11226
CAN,DMA,3587
CAN,DNK,5918
CAN,DOM,3051
CAN,DZA,6415
CAN,ECU,5064
CAN,EGY,8860
CAN,ERI,10615
CAN,ESP,5717
CAN,EST,6321
CAN,ETH,11119
CAN,FIN,6293
CAN,FJI,12702
CAN,FRA,5659
CAN,GAB,9594
CAN,GBR,5376
CAN,GEO,8687
CAN,GER,6139
CAN,GHA,8451
CAN,GIN,7110
CAN,GMB,6541
CAN,GNB,6714
CAN,GRC,7731
CAN,GRD,3920
CAN,GTM,3713
CAN,GUF,5066
CAN,GUY,6710
CAN,HKG,12465
CAN,HND,3647
CAN,HRV,6706
CAN,HTI,3014
CAN,HUN,6795
CAN,IDN,15683
CAN,IND,11390
CAN,IRL,4915
CAN,IRN,9587
CAN,IRQ,9404
CAN,ISL,3886
CAN,ISR,9000
CAN,ITA,6744
CAN,JAM,3038
CAN,JOR,9019
CAN,JPN,10404
CAN,KAZ,9819
CAN,KEN,11819
CAN,KGZ,9791
CAN,KHM,13745
CAN,KNA,3331
CAN,KOR,10583
CAN,KWT,9975
CAN,LAO,13047
CAN,LBN,8841
CAN,LBR,7587
CAN,LBY,7323
CAN,LCA,3738
CAN,LKA,13735
CAN,LTU,6657
CAN,LUX,5866
CAN,LVA,6447
CAN,MAC,11428
CAN,MAR,5836
CAN,MDA,7385
CAN,MDG,14025
CAN,MDV,13737
CAN,MEX,3626
CAN,MKD,7263
CAN,MLI,7264
CAN,MLT,7280
CAN,MMR,13122
CAN,MNG,9670
CAN,MOZ,13371
CAN,MRT,6232
CAN,MUS,14908
CAN,MWI,12572
CAN,MYS,14657
CAN,NAM,11958
CAN,NCL,13950
CAN,NER,7999
CAN,NGA,8645
CAN,NIC,3836
CAN,NLD,5623
CAN,NOR,5610
CAN,NPL,11720
CAN,NZL,14538
CAN,OMN,11087
CAN,PAK,11396
CAN,PAN,4103
CAN,PER,6386
CAN,PHL,13215
CAN,PNG,14350
CAN,POL,6592
CAN,PRK,10434
CAN,PRT,5401
CAN,PRY,8053
CAN,PYF,10186
CAN,QAT,10533
CAN,ROM,7433
CAN,RUS,7189
CAN,RWA,11389
CAN,SAU,10315
CAN,SDN,10148
CAN,SEN,6414
CAN,SER,7063
CAN,SGP,14878
CAN,SLB,13292
CAN,SLE,7211
CAN,SLV,3747
CAN,SOM,12195
CAN,SUR,4843
CAN,SVK,6623
CAN,SVN,6595
CAN,SWE,6012
CAN,SWZ,13313
CAN,SYC,13488
CAN,SYR,8915
CAN,TCD,9108
CAN,TGO,8496
CAN,THA,13498
CAN,TJK,10098
CAN,TKM,9637
CAN,TON,13087
CAN,TTO,4112
CAN,TUN,6929
CAN,TUR,8180
CAN,TWN,12037
CAN,TZA,12456
CAN,UGA,11392
CAN,UKR,7232
CAN,URY,9100
CAN,USA,719
CAN,UZB,9786
CAN,VEN,3979
CAN,VNM,12669
CAN,VUT,13463
CAN,YDR,10976
CAN,YEM,10976
CAN,YUG,7063
CAN,ZAF,12866
CAN,ZAR,10403
CAN,ZMB,12304
CAN,ZWE,12704
CHE,ABW,8145
CHE,AFG,5187
CHE,AGO,6226
CHE,ALB,1126
CHE,AND,781
CHE,ARE,4779
CHE,ARG,11261
CHE,ARM,2987
CHE,AUS,16543
CHE,AUT,600
CHE,AZE,3385
CHE,BDI,6000
CHE,BEN,4572
CHE,BFA,4252
CHE,BGD,7531
CHE,BGR,1288
CHE,BHR,4363
CHE,BHS,7683
CHE,BIH,869
CHE,BLR,1543
CHE,BLX,473
CHE,BLZ,9083
CHE,BMU,4992
CHE,BOL,10364
CHE,BRA,8924
CHE,BRN,10862
CHE,BTN,7187
CHE,BWA,8170
CHE,CAF,4864
CHE,CAN,6129
CHE,CHE,
CHE,CHL,11917
CHE,CHN,8039
CHE,CIV,4837
CHE,CMR,4878
CHE,COG,5761
CHE,COL,9166
CHE,CRI,9408
CHE,CSK,538
CHE,CUB,8205
CHE,CYP,2475
CHE,CZE,538
CHE,DDR,668
CHE,DEU,668
CHE,DJI,5132
CHE,DMA,7254
CHE,DNK,952
CHE,DOM,7636
CHE,DZA,1274
CHE,ECU,9782
CHE,EGY,2740
CHE,ERI,4537
CHE,ESP,1223
CHE,EST,1732
CHE,ETH,5121
CHE,FIN,1795
CHE,FJI,16684
CHE,FRA,480
CHE,GAB,5220
CHE,GBR,761
CHE,GEO,2934
CHE,GER,668
CHE,GHA,4737
CHE,GIN,4698
CHE,GMB,4419
CHE,GNB,4527
CHE,GRC,1605
CHE,GRD,7541
CHE,GTM,9491
CHE,GUF,7458
CHE,GUY,4335
CHE,HKG,9341
CHE,HND,9287
CHE,HRV,609
CHE,HTI,7832
CHE,HUN,808
CHE,IDN,11135
CHE,IND,6194
CHE,IRL,1224
CHE,IRN,3770
CHE,IRQ,3392
CHE,ISL,2611
CHE,ISR,2876
CHE,ITA,709
CHE,JAM,8203
CHE,JOR,2897
CHE,JPN,9634
CHE,KAZ,5224
CHE,KEN,6049
CHE,KGZ,5077
CHE,KHM,9563
CHE,KNA,7196
CHE,KOR,8833
CHE,KWT,3951
CHE,LAO,8895
CHE,LBN,2729
CHE,LBR,4910
CHE,LBY,1507
CHE,LCA,7328
CHE,LKA,8065
CHE,LTU,1446
CHE,LUX,290
CHE,LVA,1522
CHE,MAC,8774
CHE,MAR,2029
CHE,MDA,1560
CHE,MDG,8297
CHE,MDV,7817
CHE,MEX,9706
CHE,MKD,1139
CHE,MLI,4143
CHE,MLT,1363
CHE,MMR,8521
CHE,MNG,6853
CHE,MOZ,8462
CHE,MRT,3926
CHE,MUS,8958
CHE,MWI,7223
CHE,MYS,10007
CHE,NAM,7799
CHE,NCL,16629
CHE,NER,3822
CHE,NGA,4588
CHE,NIC,9378
CHE,NLD,618
CHE,NOR,1379
CHE,NPL,6865
CHE,NZL,18756
CHE,OMN,5152
CHE,PAK,5711
CHE,PAN,9147
CHE,PER,10662
CHE,PHL,10452
CHE,PNG,14312
CHE,POL,1063
CHE,PRK,8599
CHE,PRT,1720
CHE,PRY,10404
CHE,PYF,16141
CHE,QAT,4505
CHE,ROM,1415
CHE,RUS,2200
CHE,RWA,5874
CHE,SAU,4216
CHE,SDN,4187
CHE,SEN,4361
CHE,SER,976
CHE,SGP,10321
CHE,SLB,15201
CHE,SLE,4792
CHE,SLV,9466
CHE,SOM,6164
CHE,SUR,7589
CHE,SVK,666
CHE,SVN,490
CHE,SWE,1479
CHE,SWZ,8490
CHE,SYC,7388
CHE,SYR,2807
CHE,TCD,3962
CHE,TGO,4632
CHE,THA,9077
CHE,TJK,4945
CHE,TKM,4073
CHE,TON,16610
CHE,TTO,7643
CHE,TUN,1204
CHE,TUR,2124
CHE,TWN,9574
CHE,TZA,6713
CHE,UGA,5734
CHE,UKR,1624
CHE,URY,11147
CHE,USA,6654
CHE,UZB,4781
CHE,VEN,8040
CHE,VNM,8845
CHE,VUT,16288
CHE,YDR,4855
CHE,YEM,4855
CHE,YUG,976
CHE,ZAF,9054
CHE,ZAR,5766
CHE,ZMB,7257
CHE,ZWE,7596
CHL,ABW,5083
CHL,AFG,16327
CHL,AGO,8909
CHL,ALB,12410
CHL,AND,11150
CHL,ARE,14616
CHL,ARG,1125
CHL,ARM,14318
CHL,AUS,11382
CHL,AUT,12485
CHL,AZE,14769
CHL,BDI,10722
CHL,BEN,8865
CHL,BFA,8459
CHL,BGD,17893
CHL,BGR,12712
CHL,BHR,14363
CHL,BHS,6539
CHL,BIH,12427
CHL,BLR,13454
CHL,BLX,11853
CHL,BLZ,5964
CHL,BMU,15885
CHL,BOL,1908
CHL,BRA,3041
CHL,BRN,16808
CHL,BTN,18026
CHL,BWA,9075
CHL,CAF,10149
CHL,CAN,8764
CHL,CHE,11917
CHL,CHL,
CHL,CHN,19133
CHL,CIV,8230
CHL,CMR,9471
CHL,COG,9357
CHL,COL,4226
CHL,CRI,9508
CHL,CSK,12451
CHL,CUB,6404
CHL,CYP,13211
CHL,CZE,12451
CHL,DDR,12499
CHL,DEU,12499
CHL,DJI,12915
CHL,DMA,5497
CHL,DNK,12596
CHL,DOM,5748
CHL,DZA,10887
CHL,ECU,3785
CHL,EGY,12789
CHL,ERI,12735
CHL,ESP,10697
CHL,EST,13445
CHL,ETH,12331
CHL,FIN,13478
CHL,FJI,10769
CHL,FRA,11610
CHL,GAB,9105
CHL,GBR,11653
CHL,GEO,14381
CHL,GER,12499
CHL,GHA,8542
CHL,GIN,7669
CHL,GMB,7728
CHL,GNB,7678
CHL,GRC,12527
CHL,GRD,5134
CHL,GTM,5717
CHL,GUF,4633
CHL,GUY,7881
CHL,HKG,18744
CHL,HND,5566
CHL,HRV,12355
CHL,HTI,5754
CHL,HUN,12636
CHL,IDN,15651
CHL,IND,16909
CHL,IRL,11454
CHL,IRN,14759
CHL,IRQ,14072
CHL,ISL,11660
CHL,ISR,13202
CHL,ITA,11866
CHL,JAM,5755
CHL,JOR,13244
CHL,JPN,17305
CHL,KAZ,17011
CHL,KEN,11517
CHL,KGZ,16828
CHL,KHM,17551
CHL,KNA,5695
CHL,KOR,18409
CHL,KWT,14251
CHL,LAO,18157
CHL,LBN,13306
CHL,LBR,7696
CHL,LBY,11544
CHL,LCA,5363
CHL,LKA,15802
CHL,LTU,13337
CHL,LUX,11899
CHL,LVA,13337
CHL,MAC,19310
CHL,MAR,9935
CHL,MDA,13336
CHL,MDG,11271
CHL,MDV,15074
CHL,MEX,6601
CHL,MKD,12508
CHL,MLI,8362
CHL,MLT,11715
CHL,MMR,17737
CHL,MNG,18407
CHL,MOZ,9574
CHL,MRT,8142
CHL,MUS,11911
CHL,MWI,10447
CHL,MYS,16578
CHL,NAM,8459
CHL,NCL,11429
CHL,NER,9265
CHL,NGA,8912
CHL,NIC,5323
CHL,NLD,11975
CHL,NOR,12693
CHL,NPL,17621
CHL,NZL,9423
CHL,OMN,14959
CHL,PAK,15814
CHL,PAN,4758
CHL,PER,2460
CHL,PHL,17667
CHL,PNG,13864
CHL,POL,12976
CHL,PRK,18492
CHL,PRT,10198
CHL,PRY,1554
CHL,PYF,7970
CHL,QAT,14409
CHL,ROM,13008
CHL,RUS,14110
CHL,RWA,10876
CHL,SAU,13901
CHL,SDN,12122
CHL,SEN,7747
CHL,SER,12596
CHL,SGP,16415
CHL,SLB,12699
CHL,SLE,7617
CHL,SLV,5604
CHL,SOM,12515
CHL,SUR,4615
CHL,SVK,12545
CHL,SVN,12264
CHL,SWE,13076
CHL,SWZ,9429
CHL,SYC,12960
CHL,SYR,13373
CHL,TCD,10346
CHL,TGO,8715
CHL,THA,17645
CHL,TJK,16378
CHL,TKM,15349
CHL,TON,11093
CHL,TTO,4960
CHL,TUN,11415
CHL,TUR,13319
CHL,TWN,18588
CHL,TZA,11415
CHL,UGA,11221
CHL,UKR,13503
CHL,URY,1328
CHL,USA,8072
CHL,UZB,16404
CHL,VEN,4879
CHL,VNM,18623
CHL,VUT,11613
CHL,YDR,13215
CHL,YEM,13215
CHL,YUG,12596
CHL,ZAF,7949
CHL,ZAR,9358
CHL,ZMB,9870
CHL,ZWE,9960
CHN,ABW,14234
CHN,AFG,4190
CHN,AGO,11751
CHN,ALB,7704
CHN,AND,8819
CHN,ARE,5984
CHN,ARG,19300
CHN,ARM,5956
CHN,AUS,8982
CHN,AUT,7507
CHN,AZE,5527
CHN,BDI,9999
CHN,BEN,11542
CHN,BFA,11817
CHN,BGD,3004
CHN,BGR,7407
CHN,BHR,6184
CHN,BHS,12719
CHN,BIH,7641
CHN,BLR,6499
CHN,BLX,8032
CHN,BLZ,13208
CHN,BMU,4650
CHN,BOL,17426
CHN,BRA,16937
CHN,BRN,3901
CHN,BTN,2802
CHN,BWA,11785
CHN,CAF,10416
CHN,CAN,10532
CHN,CHE,8039
CHN,CHL,19133
CHN,CHN,
CHN,CIV,12135
CHN,CMR,11048
CHN,COG,11273
CHN,COL,15021
CHN,CRI,9625
CHN,CSK,7501
CHN,CUB,12814
CHN,CYP,7085
CHN,CZE,7501
CHN,DDR,7414
CHN,DEU,7414
CHN,DJI,7760
CHN,DMA,13935
CHN,DNK,7267
CHN,DOM,13578
CHN,DZA,9167
CHN,ECU,15417
CHN,EGY,7568
CHN,ERI,7869
CHN,ESP,9258
CHN,EST,6402
CHN,ETH,8337
CHN,FIN,6358
CHN,FJI,9102
CHN,FRA,8288
CHN,GAB,11433
CHN,GBR,8195
CHN,GEO,5866
CHN,GER,7414
CHN,GHA,11852
CHN,GIN,12533
CHN,GMB,12388
CHN,GNB,12464
CHN,GRC,7660
CHN,GRD,14299
CHN,GTM,13440
CHN,GUF,14996
CHN,GUY,12261
CHN,HKG,1934
CHN,HND,13604
CHN,HRV,7670
CHN,HTI,13543
CHN,HUN,7384
CHN,IDN,5182
CHN,IND,3789
CHN,IRL,8331
CHN,IRN,5638
CHN,IRQ,6323
CHN,ISL,7926
CHN,ISR,7161
CHN,ITA,8194
CHN,JAM,13497
CHN,JOR,7121
CHN,JPN,2095
CHN,KAZ,3280
CHN,KEN,9231
CHN,KGZ,3474
CHN,KHM,3347
CHN,KNA,13717
CHN,KOR,969
CHN,KWT,6232
CHN,LAO,2790
CHN,LBN,7027
CHN,LBR,12579
CHN,LBY,8624
CHN,LCA,14078
CHN,LKA,5140
CHN,LTU,6593
CHN,LUX,8013
CHN,LVA,6551
CHN,MAC,921
CHN,MAR,10063
CHN,MDA,6739
CHN,MDG,9640
CHN,MDV,5851
CHN,MEX,12539
CHN,MKD,7602
CHN,MLI,11863
CHN,MLT,8438
CHN,MMR,3230
CHN,MNG,1195
CHN,MOZ,11318
CHN,MRT,11930
CHN,MUS,9035
CHN,MWI,10377
CHN,MYS,4331
CHN,NAM,12348
CHN,NCL,8618
CHN,NER,11057
CHN,NGA,11504
CHN,NIC,13849
CHN,NLD,7890
CHN,NOR,7100
CHN,NPL,3166
CHN,NZL,10750
CHN,OMN,5684
CHN,PAK,4875
CHN,PAN,14454
CHN,PER,16719
CHN,PHL,2836
CHN,PNG,6303
CHN,POL,6979
CHN,PRK,794
CHN,PRT,9728
CHN,PRY,18340
CHN,PYF,11611
CHN,QAT,6158
CHN,ROM,7100
CHN,RUS,5845
CHN,RWA,9837
CHN,SAU,6643
CHN,SDN,8433
CHN,SEN,12350
CHN,SER,7474
CHN,SGP,4467
CHN,SLB,7255
CHN,SLE,12600
CHN,SLV,13557
CHN,SOM,8262
CHN,SUR,14952
CHN,SVK,7451
CHN,SVN,7747
CHN,SWE,6753
CHN,SWZ,11460
CHN,SYC,7921
CHN,SYR,6969
CHN,TCD,10108
CHN,TGO,11684
CHN,THA,3303
CHN,TJK,4045
CHN,TKM,5029
CHN,TON,8830
CHN,TTO,14483
CHN,TUN,8697
CHN,TUR,6902
CHN,TWN,1683
CHN,TZA,9391
CHN,UGA,9488
CHN,UKR,6527
CHN,URY,19172
CHN,USA,11207
CHN,UZB,3937
CHN,VEN,14484
CHN,VNM,2305
CHN,VUT,8361
CHN,YDR,7428
CHN,YEM,7428
CHN,YUG,7474
CHN,ZAF,12941
CHN,ZAR,11272
CHN,ZMB,10941
CHN,ZWE,10881
CIV,ABW,7369
CIV,AFG,8105
CIV,AGO,2375
CIV,ALB,4661
CIV,AND,4181
CIV,ARE,6522
CIV,ARG,7235
CIV,ARM,6181
CIV,AUS,15657
CIV,AUT,5154
CIV,AZE,6608
CIV,BDI,3762
CIV,BEN,686
CIV,BFA,686
CIV,BGD,10187
CIV,BGR,4926
CIV,BHR,6200
CIV,BHS,8156
CIV,BIH,4826
CIV,BLR,6125
CIV,BLX,5118
CIV,BLZ,9305
CIV,BMU,7678
CIV,BOL,7509
CIV,BRA,5376
CIV,BRN,13065
CIV,BTN,10063
CIV,BWA,4540
CIV,CAF,2382
CIV,CAN,8225
CIV,CHE,4837
CIV,CHL,8230
CIV,CHN,12135
CIV,CIV,
CIV,CMR,1642
CIV,COG,2300
CIV,COL,7949
CIV,CRI,12137
CIV,CSK,5285
CIV,CUB,8666
CIV,CYP,5052
CIV,CZE,5285
CIV,DDR,5489
CIV,DEU,5489
CIV,DJI,5177
CIV,DMA,6443
CIV,DNK,5788
CIV,DOM,7332
CIV,DZA,3569
CIV,ECU,8351
CIV,EGY,4574
CIV,ERI,4771
CIV,ESP,3926
CIV,EST,6521
CIV,ETH,4651
CIV,FIN,6590
CIV,FJI,18574
CIV,FRA,4877
CIV,GAB,1519
CIV,GBR,5166
CIV,GEO,6279
CIV,GER,5489
CIV,GHA,362
CIV,GIN,1208
CIV,GMB,1725
CIV,GNB,1572
CIV,GRC,4573
CIV,GRD,6464
CIV,GTM,9554
CIV,GUF,5414
CIV,GUY,1531
CIV,HKG,12605
CIV,HND,9215
CIV,HRV,4917
CIV,HTI,7610
CIV,HUN,5178
CIV,IDN,12277
CIV,IND,8833
CIV,IRL,5375
CIV,IRN,6534
CIV,IRQ,5845
CIV,ISL,6742
CIV,ISR,4985
CIV,ITA,4359
CIV,JAM,8096
CIV,JOR,5026
CIV,JPN,14106
CIV,KAZ,8861
CIV,KEN,4493
CIV,KGZ,8668
CIV,KHM,11862
CIV,KNA,6599
CIV,KOR,13081
CIV,KWT,6037
CIV,LAO,11519
CIV,LBN,5109
CIV,LBR,794
CIV,LBY,3698
CIV,LCA,6392
CIV,LKA,9214
CIV,LTU,6106
CIV,LUX,5022
CIV,LVA,6270
CIV,MAC,12559
CIV,MAR,3189
CIV,MDA,5633
CIV,MDG,6149
CIV,MDV,8512
CIV,MEX,10438
CIV,MKD,4764
CIV,MLI,991
CIV,MLT,3900
CIV,MMR,10876
CIV,MNG,11096
CIV,MOZ,5151
CIV,MRT,1995
CIV,MUS,7203
CIV,MWI,4574
CIV,MYS,11636
CIV,NAM,3774
CIV,NCL,17838
CIV,NER,1103
CIV,NGA,754
CIV,NIC,9124
CIV,NLD,5309
CIV,NOR,6191
CIV,NPL,9630
CIV,NZL,16015
CIV,OMN,6924
CIV,PAK,7811
CIV,PAN,8393
CIV,PER,8370
CIV,PHL,13498
CIV,PNG,16753
CIV,POL,5712
CIV,PRK,12867
CIV,PRT,3769
CIV,PRY,6735
CIV,PYF,16092
CIV,QAT,6272
CIV,ROM,5235
CIV,RUS,6688
CIV,RWA,3803
CIV,SAU,5750
CIV,SDN,4074
CIV,SEN,1845
CIV,SER,4971
CIV,SGP,11889
CIV,SLB,18388
CIV,SLE,1142
CIV,SLV,9440
CIV,SOM,5413
CIV,SUR,5737
CIV,SVK,5188
CIV,SVN,4889
CIV,SWE,6311
CIV,SWZ,5088
CIV,SYC,6634
CIV,SYR,5170
CIV,TCD,2180
CIV,TGO,526
CIV,THA,11370
CIV,TJK,8152
CIV,TKM,7133
CIV,TON,18502
CIV,TTO,6413
CIV,TUN,3771
CIV,TUR,5273
CIV,TWN,13199
CIV,TZA,4905
CIV,UGA,4013
CIV,UKR,5915
CIV,URY,7062
CIV,USA,8258
CIV,UZB,8214
CIV,VEN,6988
CIV,VNM,11772
CIV,VUT,18369
CIV,YDR,5324
CIV,YEM,5324
CIV,YUG,4971
CIV,ZAF,4865
CIV,ZAR,2306
CIV,ZMB,4169
CIV,ZWE,4561
CMR,ABW,9003
CMR,AFG,6875
CMR,AGO,1353
CMR,ALB,4298
CMR,AND,4434
CMR,ARE,5154
CMR,ARG,8397
CMR,ARM,5273
CMR,AUS,14452
CMR,AUT,4992
CMR,AZE,5641
CMR,BDI,2149
CMR,BEN,1020
CMR,BFA,2013
CMR,BGD,8756
CMR,BGR,4490
CMR,BHR,4893
CMR,BHS,9709
CMR,BIH,4547
CMR,BLR,5805
CMR,BLX,5277
CMR,BLZ,10912
CMR,BMU,6423
CMR,BOL,9007
CMR,BRA,6821
CMR,BRN,11460
CMR,BTN,8688
CMR,BWA,3475
CMR,CAF,755
CMR,CAN,9492
CMR,CHE,4878
CMR,CHL,9471
CMR,CHN,11048
CMR,CIV,1642
CMR,CMR,
CMR,COG,953
CMR,COL,9590
CMR,CRI,13412
CMR,CSK,5193
CMR,CUB,10236
CMR,CYP,4196
CMR,CZE,5193
CMR,DDR,5440
CMR,DEU,5440
CMR,DJI,3626
CMR,DMA,8065
CMR,DNK,5781
CMR,DOM,8938
CMR,DZA,3772
CMR,ECU,9983
CMR,EGY,3619
CMR,ERI,3302
CMR,ESP,4353
CMR,EST,6335
CMR,ETH,3071
CMR,FIN,6409
CMR,FJI,17898
CMR,FRA,5088
CMR,GAB,405
CMR,GBR,5429
CMR,GEO,5405
CMR,GER,5440
CMR,GHA,1289
CMR,GIN,2812
CMR,GMB,3260
CMR,GNB,3135
CMR,GRC,4035
CMR,GRD,8099
CMR,GTM,11177
CMR,GUF,7053
CMR,GUY,3042
CMR,HKG,11193
CMR,HND,10840
CMR,HRV,4733
CMR,HTI,9216
CMR,HUN,4934
CMR,IDN,10635
CMR,IND,7476
CMR,IRL,5762
CMR,IRN,5432
CMR,IRQ,4761
CMR,ISL,7250
CMR,ISR,3991
CMR,ITA,4236
CMR,JAM,9704
CMR,JOR,4027
CMR,JPN,13126
CMR,KAZ,7799
CMR,KEN,2853
CMR,KGZ,7604
CMR,KHM,10301
CMR,KNA,8210
CMR,KOR,12017
CMR,KWT,4816
CMR,LAO,10020
CMR,LBN,4170
CMR,LBR,2434
CMR,LBY,3434
CMR,LCA,8019
CMR,LKA,7607
CMR,LTU,5839
CMR,LUX,5131
CMR,LVA,6059
CMR,MAC,11312
CMR,MAR,3853
CMR,MDA,5158
CMR,MDG,4648
CMR,MDV,6888
CMR,MEX,12026
CMR,MKD,4388
CMR,MLI,2358
CMR,MLT,3622
CMR,MMR,9358
CMR,MNG,10152
CMR,MOZ,3957
CMR,MRT,3383
CMR,MUS,5674
CMR,MWI,3104
CMR,MYS,10016
CMR,NAM,2947
CMR,NCL,16640
CMR,NER,1494
CMR,NGA,943
CMR,NIC,10757
CMR,NLD,5461
CMR,NOR,6243
CMR,NPL,8252
CMR,NZL,15529
CMR,OMN,5523
CMR,PAK,6407
CMR,PAN,10034
CMR,PER,9926
CMR,PHL,11996
CMR,PNG,15114
CMR,POL,5492
CMR,PRK,11827
CMR,PRT,4407
CMR,PRY,8067
CMR,PYF,17436
CMR,QAT,4938
CMR,ROM,4764
CMR,RUS,6241
CMR,RWA,2174
CMR,SAU,4430
CMR,SDN,2654
CMR,SEN,3364
CMR,SER,4650
CMR,SGP,10262
CMR,SLB,16770
CMR,SLE,2763
CMR,SLV,11066
CMR,SOM,3775
CMR,SUR,7379
CMR,SVK,5003
CMR,SVN,4749
CMR,SWE,6230
CMR,SWZ,3933
CMR,SYC,4995
CMR,SYR,4208
CMR,TCD,1043
CMR,TGO,1157
CMR,THA,9825
CMR,TJK,7003
CMR,TKM,6044
CMR,TON,17519
CMR,TTO,8052
CMR,TUN,3677
CMR,TUR,4549
CMR,TWN,11859
CMR,TZA,3294
CMR,UGA,2371
CMR,UKR,5478
CMR,URY,8207
CMR,USA,9635
CMR,UZB,7133
CMR,VEN,8627
CMR,VNM,10322
CMR,VUT,17082
CMR,YDR,3830
CMR,YEM,3830
CMR,YUG,4650
CMR,ZAF,4194
CMR,ZAR,959
CMR,ZMB,2818
CMR,ZWE,3217
COG,ABW,9603
COG,AFG,7090
COG,AGO,533
COG,ALB,5087
COG,AND,5359
COG,ARE,5289
COG,ARG,8245
COG,ARM,5777
COG,AUS,13546
COG,AUT,5823
COG,AZE,6095
COG,BDI,1582
COG,BEN,1828
COG,BFA,2819
COG,BGD,8718
COG,BGR,5247
COG,BHR,5102
COG,BHS,10456
COG,BIH,5355
COG,BLR,6568
COG,BLX,6176
COG,BLZ,11577
COG,BMU,6628
COG,BOL,9174
COG,BRA,6972
COG,BRN,11104
COG,BTN,8715
COG,BWA,2523
COG,CAF,1003
COG,CAN,10397
COG,CHE,5761
COG,CHL,9357
COG,CHN,11273
COG,CIV,2300
COG,CMR,953
COG,COG,
COG,COL,10080
COG,CRI,14326
COG,CSK,6038
COG,CUB,10962
COG,CYP,4775
COG,CZE,6038
COG,DDR,6292
COG,DEU,6292
COG,DJI,3564
COG,DMA,8708
COG,DNK,6637
COG,DOM,9612
COG,DZA,4700
COG,ECU,10406
COG,EGY,4172
COG,ERI,3404
COG,ESP,5296
COG,EST,7131
COG,ETH,2980
COG,FIN,7205
COG,FJI,16963
COG,FRA,5999
COG,GAB,809
COG,GBR,6344
COG,GEO,5925
COG,GER,6292
COG,GHA,2002
COG,GIN,3508
COG,GMB,4016
COG,GNB,3869
COG,GRC,4772
COG,GRD,8700
COG,GTM,11805
COG,GUF,7554
COG,GUY,3811
COG,HKG,11128
COG,HND,11462
COG,HRV,5563
COG,HTI,9889
COG,HUN,5743
COG,IDN,10121
COG,IND,7552
COG,IRL,6692
COG,IRN,5798
COG,IRQ,5169
COG,ISL,8184
COG,ISR,4498
COG,ITA,5095
COG,JAM,10372
COG,JOR,4529
COG,JPN,13367
COG,KAZ,8122
COG,KEN,2399
COG,KGZ,7932
COG,KHM,10051
COG,KNA,8877
COG,KOR,12233
COG,KWT,5111
COG,LAO,9872
COG,LBN,4702
COG,LBR,3071
COG,LBY,4282
COG,LCA,8646
COG,LKA,7299
COG,LTU,6619
COG,LUX,6023
COG,LVA,6853
COG,MAC,11402
COG,MAR,4805
COG,MDA,5881
COG,MDG,3849
COG,MDV,6537
COG,MEX,12724
COG,MKD,5170
COG,MLI,3171
COG,MLT,4459
COG,MMR,9194
COG,MNG,10499
COG,MOZ,3014
COG,MRT,4214
COG,MUS,4903
COG,MWI,2275
COG,MYS,9637
COG,NAM,2038
COG,NCL,15752
COG,NER,2424
COG,NGA,1756
COG,NIC,11353
COG,NLD,6356
COG,NOR,7106
COG,NPL,8288
COG,NZL,14582
COG,OMN,5606
COG,PAK,6458
COG,PAN,10582
COG,PER,10164
COG,PHL,11804
COG,PNG,14508
COG,POL,6295
COG,PRK,12066
COG,PRT,5360
COG,PRY,8070
COG,PYF,17113
COG,QAT,5119
COG,ROM,5500
COG,RUS,6946
COG,RWA,1677
COG,SAU,4649
COG,SDN,2880
COG,SEN,4131
COG,SER,5442
COG,SGP,9853
COG,SLB,16095
COG,SLE,3437
COG,SLV,11684
COG,SOM,3417
COG,SUR,7892
COG,SVK,5828
COG,SVN,5591
COG,SWE,7060
COG,SWZ,2985
COG,SYC,4477
COG,SYR,4724
COG,TCD,1810
COG,TGO,1924
COG,THA,9609
COG,TJK,7283
COG,TKM,6398
COG,TON,16611
COG,TTO,8630
COG,TUN,4557
COG,TUR,5182
COG,TWN,11852
COG,TZA,2679
COG,UGA,1975
COG,UKR,6206
COG,URY,8046
COG,USA,10501
COG,UZB,7462
COG,VEN,9202
COG,VNM,10230
COG,VUT,16225
COG,YDR,3859
COG,YEM,3859
COG,YUG,5442
COG,ZAF,3293
COG,ZAR,6
COG,ZMB,1910
COG,ZWE,2310
COL,ABW,1042
COL,AFG,14330
COL,AGO,9898
COL,ALB,10109
COL,AND,8573
COL,ARE,13697
COL,ARG,4664
COL,ARM,12146
COL,AUS,14367
COL,AUT,9755
COL,AZE,12551
COL,BDI,11650
COL,BEN,8606
COL,BFA,7714
COL,BGD,16545
COL,BGR,10368
COL,BHR,13273
COL,BHS,2314
COL,BIH,9961
COL,BLR,10449
COL,BLX,8888
COL,BLZ,2046
COL,BMU,14157
