ccode,pcode,km
AFG,GUY,8615
AFG,HKG,4575
AFG,HND,14105
AFG,HRV,4615
AFG,HTI,12896
AFG,HUN,4380
AFG,IDN,5971
AFG,IND,1009
AFG,IRL,6098
AFG,IRN,1635
AFG,IRQ,2300
AFG,ISL,6664
AFG,ISR,3180
AFG,ITA,4967
AFG,JAM,13195
AFG,JOR,3138
AFG,JPN,6284
AFG,KAZ,1205
AFG,KEN,5217
AFG,KGZ,1069
AFG,KHM,4408
AFG,KNA,12364
AFG,KOR,5157
AFG,KWT,2075
AFG,LAO,3791
AFG,LBN,3113
AFG,LBR,8679
AFG,LBY,5051
AFG,LCA,12513
AFG,LKA,3243
AFG,LTU,4058
AFG,LUX,5324
AFG,LVA,4203
AFG,MAC,4463
AFG,MAR,6891
AFG,MDA,3627
AFG,MDG,6323
AFG,MDV,3393
AFG,MEX,13955
AFG,MKD,4268
AFG,MLI,8060
AFG,MLT,4913
AFG,MMR,3346
AFG,MNG,3469
AFG,MOZ,7720
AFG,MRT,8457
AFG,MUS,6189
AFG,MWI,6533
AFG,MYS,4826
AFG,NAM,8376
AFG,NCL,12022
AFG,NER,7096
AFG,NGA,7415
AFG,NIC,14261
AFG,NLD,5402
AFG,NOR,5044
AFG,NPL,1715
AFG,NZL,13633
AFG,OMN,1605
AFG,PAK,1110
AFG,PAN,14227
AFG,PER,15824
AFG,PHL,5606
AFG,PNG,9520
AFG,POL,4280
AFG,PRK,4980
AFG,PRT,6810
AFG,PRY,14837
AFG,PYF,15789
AFG,QAT,1971
AFG,ROM,3825
AFG,RUS,3382
AFG,RWA,5742
AFG,SAU,2454
AFG,SDN,4244
AFG,SEN,8803
AFG,SER,4285
AFG,SGP,5139
AFG,SLB,10922
AFG,SLE,8798
AFG,SLV,14230
AFG,SOM,4371
AFG,SUR,12711
AFG,SVK,4524
AFG,SVN,4730
AFG,SWE,4613
AFG,SWZ,7845
AFG,SYC,4567
AFG,SYR,3037
AFG,TCD,5980
AFG,TGO,7615
AFG,THA,3908
AFG,TJK,433
AFG,TKM,1139
AFG,TON,12522
AFG,TTO,12829
AFG,TUN,5276
AFG,TUR,3289
AFG,TWN,5100
AFG,TZA,5532
AFG,UGA,5394
AFG,UKR,3614
AFG,URY,15082
AFG,USA,11178
AFG,UZB,782
